Feature,Operation,Work Material,aspect ratio,Speed,feed per tooth,Depth of cut,Dia. Of tool,Cutting tool material,Cutting tool
1,1,1,3,35.36,0.145,5,12.7,4,Twist drill bits
1,1,1,9,38.71,0.152,8,19.05,4,Twist drill bits
1,1,1,3,40.23,0.17,15,25.4,4,Twist drill bits
1,1,1,8,40.84,0.173,20,31.75,4,Twist drill bits
1,1,1,4,41.76,0.178,25,38.1,4,Twist drill bits
1,1,1,2,41.76,0.185,29,50.8,4,Twist drill bits
1,1,1,9,41.76,0.206,33,76.2,4,Twist drill bits
1,1,1,7,41.76,0.206,37,101.6,4,Twist drill bits
1,1,1,3,41.76,0.206,40,152.4,4,Twist drill bits
1,1,1,7,41.76,0.206,45,304.8,4,Twist drill bits
1,1,1,4,18.29,0.056,0.5,1.6,2,Oil Drill bits
1,1,1,9,25.91,0.074,1,3.175,2,Oil Drill bits
1,1,1,7,28.96,0.119,2,6.35,2,Oil Drill bits
1,1,1,1,28.96,0.132,3,9.652,2,Oil Drill bits
1,1,1,8,28.96,0.147,5,12.7,2,Oil Drill bits
1,1,1,2,28.96,0.178,8,19.05,2,Oil Drill bits
1,1,1,9,28.96,0.185,15,25.4,2,Oil Drill bits
1,1,1,8,28.96,0.185,20,31.75,2,Oil Drill bits
1,1,1,10,28.96,0.185,25,38.1,2,Oil Drill bits
1,1,1,5,30.78,0.203,29,50.8,2,Oil Drill bits
1,1,1,4,31.7,0.241,33,76.2,2,Oil Drill bits
1,1,1,7,32.61,0.277,37,101.6,2,Oil Drill bits
1,1,1,3,33.53,0.277,40,152.4,2,Oil Drill bits
1,1,1,7,36.58,0.277,45,304.8,2,Oil Drill bits
1,1,1,7,17.68,0.112,0.5,1.6,2,Spade drill bits
1,1,1,1,18.9,0.14,1,3.175,2,Spade drill bits
1,1,1,2,20.12,0.168,2,6.35,2,Spade drill bits
1,1,1,3,20.73,0.185,3,9.652,2,Spade drill bits
1,1,1,2,20.73,0.224,5,12.7,2,Spade drill bits
1,1,1,10,21.03,0.297,8,19.05,2,Spade drill bits
1,1,1,5,21.34,0.335,15,25.4,2,Spade drill bits
1,1,1,6,21.64,0.371,20,31.75,2,Spade drill bits
1,1,1,6,21.64,0.444,25,38.1,2,Spade drill bits
1,1,1,6,21.95,0.556,29,50.8,2,Spade drill bits
1,1,1,7,22.25,0.65,33,76.2,2,Spade drill bits
1,1,1,5,22.56,0.78,37,101.6,2,Spade drill bits
1,1,1,2,23.47,0.836,40,152.4,2,Spade drill bits
1,1,1,9,24.08,0.93,45,304.8,2,Spade drill bits
1,1,1,31,47.85,0.02,0.5,1.6,2,Deep hole drill bits
1,1,1,21,62.48,0.038,1,3.175,2,Deep hole drill bits
1,1,1,12,76.2,0.066,2,6.35,2,Deep hole drill bits
1,1,1,38,77.72,0.066,3,9.652,2,Deep hole drill bits
1,1,1,15,77.72,0.074,5,12.7,2,Deep hole drill bits
1,1,1,34,77.72,0.094,8,19.05,2,Deep hole drill bits
1,1,1,16,77.72,0.102,15,25.4,2,Deep hole drill bits
1,1,1,40,77.72,0.119,20,31.75,2,Deep hole drill bits
1,1,1,23,77.72,0.132,25,38.1,2,Deep hole drill bits
1,1,1,34,80.77,0.132,29,50.8,2,Deep hole drill bits
1,1,1,37,80.77,0.147,33,76.2,2,Deep hole drill bits
1,1,1,27,80.77,0.158,37,101.6,2,Deep hole drill bits
1,1,1,29,80.77,0.168,40,152.4,2,Deep hole drill bits
1,1,1,36,80.77,0.185,45,304.8,2,Deep hole drill bits
1,1,1,32,47.85,0.02,0.5,1.6,2,Deep hole drill bits
1,1,1,39,62.48,0.038,1,3.175,2,Deep hole drill bits
1,1,1,38,76.2,0.066,2,6.35,2,Deep hole drill bits
1,1,1,32,77.72,0.066,3,9.652,2,Deep hole drill bits
1,1,1,28,77.72,0.074,5,12.7,2,Deep hole drill bits
1,1,1,21,77.72,0.094,8,19.05,2,Deep hole drill bits
1,1,1,20,77.72,0.102,15,25.4,2,Deep hole drill bits
1,4,1,4,18.29,0.094,0.5,2.362,1,Reaming tool
1,4,1,1,18.9,0.094,1,3.962,1,Reaming tool
1,4,1,5,19.81,0.102,2,7.137,1,Reaming tool
1,4,1,3,21.34,0.147,3,12.7,1,Reaming tool
1,4,1,2,22.86,0.185,5,19.05,1,Reaming tool
1,4,1,2,26.21,0.208,8,25.4,1,Reaming tool
1,4,1,4,29.26,0.249,15,38.1,1,Reaming tool
1,4,1,1,32.61,0.31,20,76.2,1,Reaming tool
1,4,1,4,13.41,0.094,0.5,2.362,2,Reaming tool
1,4,1,2,13.72,0.102,1,3.962,2,Reaming tool
1,4,1,3,14.33,0.114,2,7.137,2,Reaming tool
1,4,1,3,14.94,0.124,3,12.7,2,Reaming tool
1,4,1,5,16.15,0.165,5,19.05,2,Reaming tool
1,4,1,2,17.37,0.185,8,25.4,2,Reaming tool
1,4,1,5,18.29,0.208,15,38.1,2,Reaming tool
1,4,1,2,18.9,0.249,20,76.2,2,Reaming tool
1,2,1,1,47.85,0.02,0.5,1.6,1,Counter drilling tool
1,2,1,4,62.48,0.038,1,3.175,1,Counter drilling tool
1,2,1,3,76.2,0.066,2,6.35,1,Counter drilling tool
1,2,1,1,77.72,0.066,3,9.652,1,Counter drilling tool
1,2,1,2,77.72,0.074,5,12.7,1,Counter drilling tool
1,2,1,1,77.72,0.094,8,19.05,1,Counter drilling tool
1,2,1,2,77.72,0.102,15,25.4,1,Counter drilling tool
1,2,1,1,77.72,0.119,20,31.75,1,Counter drilling tool
1,2,1,3,77.72,0.132,25,38.1,1,Counter drilling tool
1,2,1,1,80.77,0.132,29,50.8,1,Counter drilling tool
1,2,1,3,80.77,0.147,33,76.2,1,Counter drilling tool
1,2,1,4,80.77,0.158,37,101.6,1,Counter drilling tool
1,2,1,3,80.77,0.168,40,152.4,1,Counter drilling tool
1,2,1,5,80.77,0.185,45,304.8,1,Counter drilling tool
1,2,1,2,19.51,0.058,0.5,1.6,3,Counter drilling tool
1,2,1,1,27.43,0.069,1,3.175,3,Counter drilling tool
1,2,1,2,28.65,0.099,2,6.35,3,Counter drilling tool
1,2,1,3,30.18,0.119,3,9.652,3,Counter drilling tool
1,2,1,3,32.61,0.137,5,12.7,3,Counter drilling tool
1,2,1,1,35.66,0.145,8,19.05,3,Counter drilling tool
1,2,1,1,36.88,0.163,15,25.4,3,Counter drilling tool
1,2,1,5,37.49,0.165,20,31.75,3,Counter drilling tool
1,2,1,2,38.4,0.17,25,38.1,3,Counter drilling tool
1,2,1,5,38.4,0.178,29,50.8,3,Counter drilling tool
1,2,1,1,38.4,0.196,33,76.2,3,Counter drilling tool
1,2,1,4,38.4,0.196,37,101.6,3,Counter drilling tool
1,2,1,3,38.4,0.196,40,152.4,3,Counter drilling tool
1,2,1,1,38.4,0.196,45,304.8,3,Counter drilling tool
1,2,1,4,14.63,0.056,0.5,1.6,2,Counter drilling tool
1,2,1,2,20.73,0.066,1,3.175,2,Counter drilling tool
1,2,1,3,21.64,0.094,2,6.35,2,Counter drilling tool
1,2,1,5,22.86,0.114,3,9.652,2,Counter drilling tool
1,2,1,1,24.69,0.132,5,12.7,2,Counter drilling tool
1,2,1,4,26.82,0.137,8,19.05,2,Counter drilling tool
1,2,1,2,28.04,0.155,15,25.4,2,Counter drilling tool
1,2,1,4,28.35,0.158,20,31.75,2,Counter drilling tool
1,2,1,3,28.96,0.163,25,38.1,2,Counter drilling tool
1,2,1,4,28.96,0.168,29,50.8,2,Counter drilling tool
1,2,1,5,28.96,0.185,33,76.2,2,Counter drilling tool
1,2,1,2,28.96,0.185,37,101.6,2,Counter drilling tool
1,2,1,1,28.96,0.185,40,152.4,2,Counter drilling tool
1,2,1,2,28.96,0.185,45,304.8,2,Counter drilling tool
1,2,1,3,21.03,0.064,0.5,1.6,4,Counter drilling tool
1,2,1,4,29.87,0.071,1,3.175,4,Counter drilling tool
1,2,1,3,31.09,0.104,2,6.35,4,Counter drilling tool
1,2,1,4,32.92,0.124,3,9.652,4,Counter drilling tool
1,2,1,3,35.36,0.145,5,12.7,4,Counter drilling tool
1,2,1,1,38.71,0.152,8,19.05,4,Counter drilling tool
1,2,1,5,40.23,0.17,15,25.4,4,Counter drilling tool
1,2,1,3,40.84,0.173,20,31.75,4,Counter drilling tool
1,2,1,4,41.76,0.178,25,38.1,4,Counter drilling tool
1,2,1,1,41.76,0.185,29,50.8,4,Counter drilling tool
1,2,1,2,41.76,0.206,33,76.2,4,Counter drilling tool
1,2,1,5,41.76,0.206,37,101.6,4,Counter drilling tool
1,2,1,4,41.76,0.206,40,152.4,4,Counter drilling tool
1,2,1,4,41.76,0.206,45,304.8,4,Counter drilling tool
1,3,1,1,47.85,0.02,0.5,1.6,1,Counter sinking tool
1,3,1,3,62.48,0.038,1,3.175,1,Counter sinking tool
1,3,1,2,76.2,0.066,2,6.35,1,Counter sinking tool
1,3,1,3,77.72,0.066,3,9.652,1,Counter sinking tool
1,3,1,4,77.72,0.074,5,12.7,1,Counter sinking tool
1,3,1,3,77.72,0.094,8,19.05,1,Counter sinking tool
1,3,1,1,77.72,0.102,15,25.4,1,Counter sinking tool
1,3,1,4,77.72,0.119,20,31.75,1,Counter sinking tool
1,3,1,2,77.72,0.132,25,38.1,1,Counter sinking tool
1,3,1,2,80.77,0.132,29,50.8,1,Counter sinking tool
1,3,1,1,80.77,0.147,33,76.2,1,Counter sinking tool
1,3,1,5,80.77,0.158,37,101.6,1,Counter sinking tool
1,3,1,2,80.77,0.168,40,152.4,1,Counter sinking tool
1,3,1,4,80.77,0.185,45,304.8,1,Counter sinking tool
1,3,1,3,19.51,0.058,0.5,1.6,3,Counter sinking tool
1,3,1,5,27.43,0.069,1,3.175,3,Counter sinking tool
1,3,1,1,28.65,0.099,2,6.35,3,Counter sinking tool
1,3,1,2,30.18,0.119,3,9.652,3,Counter sinking tool
1,3,1,3,32.61,0.137,5,12.7,3,Counter sinking tool
1,3,1,3,35.66,0.145,8,19.05,3,Counter sinking tool
1,3,1,1,36.88,0.163,15,25.4,3,Counter sinking tool
1,3,1,1,37.49,0.165,20,31.75,3,Counter sinking tool
1,3,1,3,38.4,0.17,25,38.1,3,Counter sinking tool
1,3,1,2,38.4,0.178,29,50.8,3,Counter sinking tool
1,3,1,4,38.4,0.196,33,76.2,3,Counter sinking tool
1,3,1,3,38.4,0.196,37,101.6,3,Counter sinking tool
1,3,1,5,38.4,0.196,40,152.4,3,Counter sinking tool
1,3,1,4,38.4,0.196,45,304.8,3,Counter sinking tool
1,3,1,5,14.63,0.056,0.5,1.6,2,Counter sinking tool
1,3,1,5,20.73,0.066,1,3.175,2,Counter sinking tool
1,3,1,2,21.64,0.094,2,6.35,2,Counter sinking tool
1,3,1,1,22.86,0.114,3,9.652,2,Counter sinking tool
1,3,1,2,24.69,0.132,5,12.7,2,Counter sinking tool
1,3,1,5,26.82,0.137,8,19.05,2,Counter sinking tool
1,3,1,1,28.04,0.155,15,25.4,2,Counter sinking tool
1,3,1,2,28.35,0.158,20,31.75,2,Counter sinking tool
1,3,1,1,28.96,0.163,25,38.1,2,Counter sinking tool
1,3,1,4,28.96,0.168,29,50.8,2,Counter sinking tool
1,3,1,4,28.96,0.185,33,76.2,2,Counter sinking tool
1,3,1,2,28.96,0.185,37,101.6,2,Counter sinking tool
1,3,1,4,28.96,0.185,40,152.4,2,Counter sinking tool
1,3,1,3,28.96,0.185,45,304.8,2,Counter sinking tool
1,3,1,4,21.03,0.064,0.5,1.6,4,Counter sinking tool
1,3,1,5,29.87,0.071,1,3.175,4,Counter sinking tool
1,3,1,4,31.09,0.104,2,6.35,4,Counter sinking tool
1,3,1,1,32.92,0.124,3,9.652,4,Counter sinking tool
1,3,1,4,35.36,0.145,5,12.7,4,Counter sinking tool
1,3,1,4,38.71,0.152,8,19.05,4,Counter sinking tool
1,3,1,5,40.23,0.17,15,25.4,4,Counter sinking tool
1,3,1,3,40.84,0.173,20,31.75,4,Counter sinking tool
1,3,1,3,41.76,0.178,25,38.1,4,Counter sinking tool
1,3,1,4,41.76,0.185,29,50.8,4,Counter sinking tool
1,3,1,5,41.76,0.206,33,76.2,4,Counter sinking tool
1,3,1,4,41.76,0.206,37,101.6,4,Counter sinking tool
1,3,1,2,41.76,0.206,40,152.4,4,Counter sinking tool
1,3,1,2,41.76,0.206,45,304.8,4,Counter sinking tool
1,1,2,10,42.67,0.013,0.5,1.6,1,Twist drill bits
1,1,2,3,55.78,0.023,1,3.175,1,Twist drill bits
1,1,2,5,67.97,0.041,2,6.35,1,Twist drill bits
1,1,2,2,69.49,0.041,3,9.652,1,Twist drill bits
1,1,2,5,69.49,0.046,5,12.7,1,Twist drill bits
1,1,2,5,69.49,0.058,8,19.05,1,Twist drill bits
1,1,2,2,69.49,0.064,15,25.4,1,Twist drill bits
1,1,2,3,69.49,0.074,20,31.75,1,Twist drill bits
1,1,2,1,69.49,0.081,25,38.1,1,Twist drill bits
1,1,2,2,71.93,0.081,29,50.8,1,Twist drill bits
1,1,2,3,71.93,0.091,33,76.2,1,Twist drill bits
1,1,2,2,71.93,0.096,37,101.6,1,Twist drill bits
1,1,2,9,71.93,0.104,40,152.4,1,Twist drill bits
1,1,2,5,71.93,0.114,45,304.8,1,Twist drill bits
1,1,2,4,31.09,0.064,0.5,1.6,3,Twist drill bits
1,1,2,2,43.89,0.074,1,3.175,3,Twist drill bits
1,1,2,1,45.72,0.104,2,6.35,3,Twist drill bits
1,1,2,2,48.16,0.127,3,9.652,3,Twist drill bits
1,1,2,5,52.12,0.145,5,12.7,3,Twist drill bits
1,1,2,6,57,0.152,8,19.05,3,Twist drill bits
1,1,2,2,59.13,0.173,15,25.4,3,Twist drill bits
1,1,2,2,60.05,0.175,20,31.75,3,Twist drill bits
1,1,2,8,61.26,0.18,25,38.1,3,Twist drill bits
1,1,2,10,61.26,0.188,29,50.8,3,Twist drill bits
1,1,2,10,61.26,0.206,33,76.2,3,Twist drill bits
1,1,2,1,61.26,0.206,37,101.6,3,Twist drill bits
1,1,2,1,61.26,0.206,40,152.4,3,Twist drill bits
1,1,2,10,61.26,0.206,45,304.8,3,Twist drill bits
1,1,2,7,23.47,0.061,0.5,1.6,2,Twist drill bits
1,1,2,1,33.22,0.069,1,3.175,2,Twist drill bits
1,1,2,1,34.44,0.099,2,6.35,2,Twist drill bits
1,1,2,1,36.58,0.119,3,9.652,2,Twist drill bits
1,1,2,6,39.32,0.14,5,12.7,2,Twist drill bits
1,1,2,1,42.98,0.145,8,19.05,2,Twist drill bits
1,1,2,1,44.81,0.165,15,25.4,2,Twist drill bits
1,1,2,4,45.42,0.168,20,31.75,2,Twist drill bits
1,1,2,5,46.33,0.17,25,38.1,2,Twist drill bits
1,1,2,10,46.33,0.178,29,50.8,2,Twist drill bits
1,1,2,2,46.33,0.196,33,76.2,2,Twist drill bits
1,1,2,8,46.33,0.196,37,101.6,2,Twist drill bits
1,1,2,1,46.33,0.196,40,152.4,2,Twist drill bits
1,1,2,5,46.33,0.196,45,304.8,2,Twist drill bits
1,1,2,7,33.83,0.066,0.5,1.6,4,Twist drill bits
1,1,2,6,47.85,0.076,1,3.175,4,Twist drill bits
1,1,2,2,49.68,0.109,2,6.35,4,Twist drill bits
1,1,2,10,52.43,0.132,3,9.652,4,Twist drill bits
1,1,2,1,56.69,0.152,5,12.7,4,Twist drill bits
1,1,2,8,62.18,0.16,8,19.05,4,Twist drill bits
1,1,2,1,64.31,0.18,15,25.4,4,Twist drill bits
1,1,2,3,65.23,0.183,20,31.75,4,Twist drill bits
1,1,2,3,66.75,0.188,25,38.1,4,Twist drill bits
1,1,2,6,66.75,0.196,29,50.8,4,Twist drill bits
1,1,2,9,66.75,0.216,33,76.2,4,Twist drill bits
1,1,2,1,66.75,0.216,37,101.6,4,Twist drill bits
1,1,2,6,66.75,0.216,40,152.4,4,Twist drill bits
1,1,2,2,66.75,0.216,45,304.8,4,Twist drill bits
1,1,2,7,25.6,0.058,0.5,1.6,2,Oil Drill bits
1,1,2,8,36.27,0.079,1,3.175,2,Oil Drill bits
1,1,2,3,40.54,0.124,2,6.35,2,Oil Drill bits
1,1,2,7,40.54,0.137,3,9.652,2,Oil Drill bits
1,1,2,10,40.54,0.155,5,12.7,2,Oil Drill bits
1,1,2,3,40.54,0.185,8,19.05,2,Oil Drill bits
1,1,2,4,40.54,0.196,15,25.4,2,Oil Drill bits
1,1,2,10,40.54,0.196,20,31.75,2,Oil Drill bits
1,1,2,7,40.54,0.196,25,38.1,2,Oil Drill bits
1,1,2,6,42.98,0.213,29,50.8,2,Oil Drill bits
1,1,2,4,44.5,0.254,33,76.2,2,Oil Drill bits
1,1,2,4,45.72,0.29,37,101.6,2,Oil Drill bits
1,1,2,1,47.24,0.29,40,152.4,2,Oil Drill bits
1,1,2,6,50.9,0.29,45,304.8,2,Oil Drill bits
1,1,2,6,19.51,0.124,0.5,1.6,2,Spade drill bits
1,1,2,10,20.73,0.155,1,3.175,2,Spade drill bits
1,1,2,5,22.25,0.188,2,6.35,2,Spade drill bits
1,1,2,5,22.86,0.208,3,9.652,2,Spade drill bits
1,1,2,5,23.16,0.249,5,12.7,2,Spade drill bits
1,1,2,5,23.16,0.333,8,19.05,2,Spade drill bits
1,1,2,6,23.47,0.373,15,25.4,2,Spade drill bits
1,1,2,3,23.77,0.414,20,31.75,2,Spade drill bits
1,1,2,8,24.08,0.498,25,38.1,2,Spade drill bits
1,1,2,5,24.38,0.622,29,50.8,2,Spade drill bits
1,1,2,8,24.69,0.726,33,76.2,2,Spade drill bits
1,1,2,5,24.99,0.871,37,101.6,2,Spade drill bits
1,1,2,10,25.91,0.935,40,152.4,2,Spade drill bits
1,1,2,9,26.52,1.036,45,304.8,2,Spade drill bits
1,1,2,22,42.67,0.013,0.5,1.6,2,Deep hole drill bits
1,1,2,11,55.78,0.023,1,3.175,2,Deep hole drill bits
1,1,2,26,67.97,0.041,2,6.35,2,Deep hole drill bits
1,1,2,40,69.49,0.041,3,9.652,2,Deep hole drill bits
1,1,2,29,69.49,0.046,5,12.7,2,Deep hole drill bits
1,1,2,31,69.49,0.058,8,19.05,2,Deep hole drill bits
1,1,2,19,69.49,0.064,15,25.4,2,Deep hole drill bits
1,1,2,37,69.49,0.074,20,31.75,2,Deep hole drill bits
1,1,2,12,69.49,0.081,25,38.1,2,Deep hole drill bits
1,1,2,17,71.93,0.081,29,50.8,2,Deep hole drill bits
1,1,2,16,71.93,0.091,33,76.2,2,Deep hole drill bits
1,1,2,22,71.93,0.096,37,101.6,2,Deep hole drill bits
1,1,2,28,71.93,0.104,40,152.4,2,Deep hole drill bits
1,1,2,28,71.93,0.114,45,304.8,2,Deep hole drill bits
1,1,2,18,42.67,0.013,0.5,1.6,2,Deep hole drill bits
1,1,2,32,55.78,0.023,1,3.175,2,Deep hole drill bits
1,1,2,21,67.97,0.041,2,6.35,2,Deep hole drill bits
1,1,2,23,69.49,0.041,3,9.652,2,Deep hole drill bits
1,1,2,39,69.49,0.046,5,12.7,2,Deep hole drill bits
1,1,2,38,69.49,0.058,8,19.05,2,Deep hole drill bits
1,1,2,19,69.49,0.064,15,25.4,2,Deep hole drill bits
1,4,2,1,20.12,0.109,0.5,2.362,1,Reaming tool
1,4,2,1,21.03,0.109,1,3.962,1,Reaming tool
1,4,2,3,21.95,0.119,2,7.137,1,Reaming tool
1,4,2,2,23.77,0.17,3,12.7,1,Reaming tool
1,4,2,4,25.6,0.216,5,19.05,1,Reaming tool
1,4,2,2,28.96,0.241,8,25.4,1,Reaming tool
1,4,2,2,32.61,0.29,15,38.1,1,Reaming tool
1,4,2,4,35.97,0.361,20,76.2,1,Reaming tool
1,4,2,1,13.41,0.094,0.5,2.362,2,Reaming tool
1,4,2,1,13.72,0.104,1,3.962,2,Reaming tool
1,4,2,3,14.33,0.114,2,7.137,2,Reaming tool
1,4,2,3,14.94,0.127,3,12.7,2,Reaming tool
1,4,2,2,16.15,0.168,5,19.05,2,Reaming tool
1,4,2,1,17.37,0.188,8,25.4,2,Reaming tool
1,4,2,3,18.29,0.211,15,38.1,2,Reaming tool
1,4,2,5,18.9,0.252,20,76.2,2,Reaming tool
1,2,2,2,42.67,0.013,0.5,1.6,1,Counter drilling tool
1,2,2,3,55.78,0.023,1,3.175,1,Counter drilling tool
1,2,2,3,67.97,0.041,2,6.35,1,Counter drilling tool
1,2,2,2,69.49,0.041,3,9.652,1,Counter drilling tool
1,2,2,2,69.49,0.046,5,12.7,1,Counter drilling tool
1,2,2,5,69.49,0.058,8,19.05,1,Counter drilling tool
1,2,2,2,69.49,0.064,15,25.4,1,Counter drilling tool
1,2,2,3,69.49,0.074,20,31.75,1,Counter drilling tool
1,2,2,1,69.49,0.081,25,38.1,1,Counter drilling tool
1,2,2,1,71.93,0.081,29,50.8,1,Counter drilling tool
1,2,2,2,71.93,0.091,33,76.2,1,Counter drilling tool
1,2,2,1,71.93,0.096,37,101.6,1,Counter drilling tool
1,2,2,5,71.93,0.104,40,152.4,1,Counter drilling tool
1,2,2,1,71.93,0.114,45,304.8,1,Counter drilling tool
1,2,2,4,31.09,0.064,0.5,1.6,3,Counter drilling tool
1,2,2,3,43.89,0.074,1,3.175,3,Counter drilling tool
1,2,2,1,45.72,0.104,2,6.35,3,Counter drilling tool
1,2,2,2,48.16,0.127,3,9.652,3,Counter drilling tool
1,2,2,2,52.12,0.145,5,12.7,3,Counter drilling tool
1,2,2,5,57,0.152,8,19.05,3,Counter drilling tool
1,2,2,1,59.13,0.173,15,25.4,3,Counter drilling tool
1,2,2,1,60.05,0.175,20,31.75,3,Counter drilling tool
1,2,2,4,61.26,0.18,25,38.1,3,Counter drilling tool
1,2,2,3,61.26,0.188,29,50.8,3,Counter drilling tool
1,2,2,5,61.26,0.206,33,76.2,3,Counter drilling tool
1,2,2,3,61.26,0.206,37,101.6,3,Counter drilling tool
1,2,2,4,61.26,0.206,40,152.4,3,Counter drilling tool
1,2,2,2,61.26,0.206,45,304.8,3,Counter drilling tool
1,2,2,4,23.47,0.061,0.5,1.6,2,Counter drilling tool
1,2,2,4,33.22,0.069,1,3.175,2,Counter drilling tool
1,2,2,2,34.44,0.099,2,6.35,2,Counter drilling tool
1,2,2,5,36.58,0.119,3,9.652,2,Counter drilling tool
1,2,2,5,39.32,0.14,5,12.7,2,Counter drilling tool
1,2,2,1,42.98,0.145,8,19.05,2,Counter drilling tool
1,2,2,4,44.81,0.165,15,25.4,2,Counter drilling tool
1,2,2,1,45.42,0.168,20,31.75,2,Counter drilling tool
1,2,2,5,46.33,0.17,25,38.1,2,Counter drilling tool
1,2,2,2,46.33,0.178,29,50.8,2,Counter drilling tool
1,2,2,3,46.33,0.196,33,76.2,2,Counter drilling tool
1,2,2,5,46.33,0.196,37,101.6,2,Counter drilling tool
1,2,2,2,46.33,0.196,40,152.4,2,Counter drilling tool
1,2,2,2,46.33,0.196,45,304.8,2,Counter drilling tool
1,2,2,3,33.83,0.066,0.5,1.6,4,Counter drilling tool
1,2,2,5,47.85,0.076,1,3.175,4,Counter drilling tool
1,2,2,4,49.68,0.109,2,6.35,4,Counter drilling tool
1,2,2,3,52.43,0.132,3,9.652,4,Counter drilling tool
1,2,2,2,56.69,0.152,5,12.7,4,Counter drilling tool
1,2,2,2,62.18,0.16,8,19.05,4,Counter drilling tool
1,2,2,1,64.31,0.18,15,25.4,4,Counter drilling tool
1,2,2,4,65.23,0.183,20,31.75,4,Counter drilling tool
1,2,2,2,66.75,0.188,25,38.1,4,Counter drilling tool
1,2,2,1,66.75,0.196,29,50.8,4,Counter drilling tool
1,2,2,5,66.75,0.216,33,76.2,4,Counter drilling tool
1,2,2,2,66.75,0.216,37,101.6,4,Counter drilling tool
1,2,2,3,66.75,0.216,40,152.4,4,Counter drilling tool
1,2,2,1,66.75,0.216,45,304.8,4,Counter drilling tool
1,3,2,4,42.67,0.013,0.5,1.6,1,Counter sinking tool
1,3,2,1,55.78,0.023,1,3.175,1,Counter sinking tool
1,3,2,3,67.97,0.041,2,6.35,1,Counter sinking tool
1,3,2,1,69.49,0.041,3,9.652,1,Counter sinking tool
1,3,2,3,69.49,0.046,5,12.7,1,Counter sinking tool
1,3,2,3,69.49,0.058,8,19.05,1,Counter sinking tool
1,3,2,5,69.49,0.064,15,25.4,1,Counter sinking tool
1,3,2,1,69.49,0.074,20,31.75,1,Counter sinking tool
1,3,2,3,69.49,0.081,25,38.1,1,Counter sinking tool
1,3,2,3,71.93,0.081,29,50.8,1,Counter sinking tool
1,3,2,1,71.93,0.091,33,76.2,1,Counter sinking tool
1,3,2,1,71.93,0.096,37,101.6,1,Counter sinking tool
1,3,2,5,71.93,0.104,40,152.4,1,Counter sinking tool
