Feature,Operation,Work Material,Speed,feed per tooth,No. of tooth,Dia. Of tool,Cutting tool material,Depth of cut,Feed,Spindle speed
1,1,1,30.78,0.203,2,50.8,2,29,0.406,192.902105
1,1,1,31.7,0.241,2,76.2,2,33,0.482,132.44524
1,1,1,32.61,0.277,2,101.6,2,37,0.554,102.1854718
1,1,1,33.53,0.277,2,152.4,2,40,0.554,70.04556618
1,1,1,36.58,0.277,2,304.8,2,45,0.554,38.20857159
1,1,1,17.68,0.112,2,1.6,2,0.5,0.224,3517.987902
1,1,1,18.9,0.14,2,3.175,2,1,0.28,1895.178575
1,1,1,20.12,0.168,2,6.35,2,2,0.336,1008.756427
1,1,1,20.73,0.185,2,9.652,2,3,0.37,683.7763135
1,1,1,20.73,0.224,2,12.7,2,5,0.448,519.6699983
1,1,1,21.03,0.297,2,19.05,2,8,0.594,351.4603654
1,1,1,21.34,0.335,2,25.4,2,15,0.67,267.4808915
1,1,1,21.64,0.371,2,31.75,2,20,0.742,216.9929332
1,1,1,21.64,0.444,2,38.1,2,25,0.888,180.8274443
1,1,1,21.95,0.556,2,50.8,2,29,1.112,137.563392
1,1,1,22.25,0.65,2,76.2,2,33,1.3,92.96235296
1,1,1,22.56,0.78,2,101.6,2,37,1.56,70.69316908
1,1,1,23.47,0.836,2,152.4,2,40,1.672,49.02980728
1,1,1,24.08,0.93,2,304.8,2,45,1.86,25.15206134
1,1,1,47.85,0.02,2,1.6,2,0.5,0.04,9521.251194
1,1,1,62.48,0.038,2,3.175,2,1,0.076,6265.119439
1,1,1,76.2,0.066,2,6.35,2,2,0.132,3820.439351
1,1,1,77.72,0.066,2,9.652,2,3,0.132,2563.58394
1,1,1,77.72,0.074,2,12.7,2,5,0.148,1948.323795
1,1,1,77.72,0.094,2,19.05,2,8,0.188,1298.88253
1,1,1,77.72,0.102,2,25.4,2,15,0.204,974.1618974
1,1,1,77.72,0.119,2,31.75,2,20,0.238,779.3295179
1,1,1,77.72,0.132,2,38.1,2,25,0.264,649.4412649
1,1,1,80.77,0.132,2,50.8,2,29,0.264,506.1956797
1,1,1,80.77,0.147,2,76.2,2,33,0.294,337.4637865
1,1,1,80.77,0.158,2,101.6,2,37,0.316,253.0978398
1,1,1,80.77,0.168,2,152.4,2,40,0.336,168.7318932
1,1,1,80.77,0.185,2,304.8,2,45,0.37,84.36594662
1,1,1,47.85,0.02,2,1.6,2,0.5,0.04,9521.251194
1,1,1,62.48,0.038,2,3.175,2,1,0.076,6265.119439
1,1,1,76.2,0.066,2,6.35,2,2,0.132,3820.439351
1,1,1,77.72,0.066,2,9.652,2,3,0.132,2563.58394
1,1,1,77.72,0.074,2,12.7,2,5,0.148,1948.323795
1,1,1,77.72,0.094,2,19.05,2,8,0.188,1298.88253
1,1,1,77.72,0.102,2,25.4,2,15,0.204,974.1618974
1,4,1,18.29,0.094,1,2.362,1,0.5,0.094,2465.277862
1,4,1,18.9,0.094,1,3.962,1,1,0.094,1518.72589
1,4,1,19.81,0.102,1,7.137,1,2,0.102,883.6918352
1,4,1,21.34,0.147,1,12.7,1,3,0.147,534.9617831
1,4,1,22.86,0.185,1,19.05,1,5,0.185,382.0439351
1,4,1,26.21,0.208,1,25.4,1,8,0.208,328.5226882
1,4,1,29.26,0.249,1,38.1,1,15,0.249,244.5014335
1,4,1,32.61,0.31,1,76.2,1,20,0.31,136.2472957
1,4,1,13.41,0.094,1,2.362,2,0.5,0.094,1807.510997
1,4,1,13.72,0.102,1,3.962,2,1,0.102,1102.482498
1,4,1,14.33,0.114,1,7.137,2,2,0.114,639.2379605
1,4,1,14.94,0.124,1,12.7,2,3,0.124,374.5233851
1,4,1,16.15,0.165,1,19.05,2,5,0.165,269.9041798
1,4,1,17.37,0.185,1,25.4,2,8,0.185,217.7199197
1,4,1,18.29,0.208,1,38.1,2,15,0.208,152.8342864
1,4,1,18.9,0.249,1,76.2,2,20,0.249,78.96577398
1,2,1,47.85,0.02,1,1.6,1,0.5,0.02,9521.251194
1,2,1,62.48,0.038,1,3.175,1,1,0.038,6265.119439
1,2,1,76.2,0.066,1,6.35,1,2,0.066,3820.439351
1,2,1,77.72,0.066,1,9.652,1,3,0.066,2563.58394
1,2,1,77.72,0.074,1,12.7,1,5,0.074,1948.323795
1,2,1,77.72,0.094,1,19.05,1,8,0.094,1298.88253
1,2,1,77.72,0.102,1,25.4,1,15,0.102,974.1618974
1,2,1,77.72,0.119,1,31.75,1,20,0.119,779.3295179
1,2,1,77.72,0.132,1,38.1,1,25,0.132,649.4412649
1,2,1,80.77,0.132,1,50.8,1,29,0.132,506.1956797
1,2,1,80.77,0.147,1,76.2,1,33,0.147,337.4637865
1,2,1,80.77,0.158,1,101.6,1,37,0.158,253.0978398
1,2,1,80.77,0.168,1,152.4,1,40,0.168,168.7318932
1,2,1,80.77,0.185,1,304.8,1,45,0.185,84.36594662
1,2,1,19.51,0.058,1,1.6,3,0.5,0.058,3882.123528
1,2,1,27.43,0.069,1,3.175,3,1,0.069,2750.515784
1,2,1,28.65,0.099,1,6.35,3,2,0.099,1436.425031
1,2,1,30.18,0.119,1,9.652,3,3,0.119,995.4833161
1,2,1,32.61,0.137,1,12.7,3,5,0.137,817.4837744
1,2,1,35.66,0.145,1,19.05,3,8,0.145,595.9617989
1,2,1,36.88,0.163,1,25.4,3,15,0.163,462.263134
1,2,1,37.49,0.165,1,31.75,3,20,0.165,375.9272211
1,2,1,38.4,0.17,1,38.1,3,25,0.17,320.8767958
1,2,1,38.4,0.178,1,50.8,3,29,0.178,240.6575969
1,2,1,38.4,0.196,1,76.2,3,33,0.196,160.4383979
1,2,1,38.4,0.196,1,101.6,3,37,0.196,120.3287984
1,2,1,38.4,0.196,1,152.4,3,40,0.196,80.21919896
1,2,1,38.4,0.196,1,304.8,3,45,0.196,40.10959948
1,2,1,14.63,0.056,1,1.6,2,0.5,0.056,2911.095193
1,2,1,20.73,0.066,1,3.175,2,1,0.066,2078.679993
1,2,1,21.64,0.094,1,6.35,2,2,0.094,1084.964666
1,2,1,22.86,0.114,1,9.652,2,3,0.114,754.0340823
1,2,1,24.69,0.132,1,12.7,2,5,0.132,618.941257
1,2,1,26.82,0.137,1,19.05,2,8,0.137,448.2247742
1,2,1,28.04,0.155,1,25.4,2,15,0.155,351.4603654
1,2,1,28.35,0.158,1,31.75,2,20,0.158,284.2767863
1,2,1,28.96,0.163,1,38.1,2,25,0.163,241.9945835
1,2,1,28.96,0.168,1,50.8,2,29,0.168,181.4959376
1,2,1,28.96,0.185,1,76.2,2,33,0.185,120.9972918
1,2,1,28.96,0.185,1,101.6,2,37,0.185,90.74796882
1,2,1,28.96,0.185,1,152.4,2,40,0.185,60.49864588
1,2,1,28.96,0.185,1,304.8,2,45,0.185,30.24932294
1,2,1,21.03,0.064,1,1.6,4,0.5,0.064,4184.574976
1,2,1,29.87,0.071,1,3.175,4,1,0.071,2995.184341
1,2,1,31.09,0.104,1,6.35,4,2,0.104,1558.75931
1,2,1,32.92,0.124,1,9.652,4,3,0.124,1085.861854
1,2,1,35.36,0.145,1,12.7,4,5,0.145,886.4221485
1,2,1,38.71,0.152,1,19.05,4,8,0.152,646.934415
1,2,1,40.23,0.17,1,25.4,4,15,0.17,504.252871
1,2,1,40.84,0.173,1,31.75,4,20,0.173,409.5190107
1,2,1,41.76,0.178,1,38.1,4,25,0.178,348.9535155
1,2,1,41.76,0.185,1,50.8,4,29,0.185,261.7151366
1,2,1,41.76,0.206,1,76.2,4,33,0.206,174.4767577
1,2,1,41.76,0.206,1,101.6,4,37,0.206,130.8575683
1,2,1,41.76,0.206,1,152.4,4,40,0.206,87.23837887
1,2,1,41.76,0.206,1,304.8,4,45,0.206,43.61918944
1,3,1,47.85,0.02,1,1.6,1,0.5,0.02,9521.251194
1,3,1,62.48,0.038,1,3.175,1,1,0.038,6265.119439
1,3,1,76.2,0.066,1,6.35,1,2,0.066,3820.439351
1,3,1,77.72,0.066,1,9.652,1,3,0.066,2563.58394
1,3,1,77.72,0.074,1,12.7,1,5,0.074,1948.323795
1,3,1,77.72,0.094,1,19.05,1,8,0.094,1298.88253
1,3,1,77.72,0.102,1,25.4,1,15,0.102,974.1618974
1,3,1,77.72,0.119,1,31.75,1,20,0.119,779.3295179
1,3,1,77.72,0.132,1,38.1,1,25,0.132,649.4412649
1,3,1,80.77,0.132,1,50.8,1,29,0.132,506.1956797
1,3,1,80.77,0.147,1,76.2,1,33,0.147,337.4637865
1,3,1,80.77,0.158,1,101.6,1,37,0.158,253.0978398
1,3,1,80.77,0.168,1,152.4,1,40,0.168,168.7318932
1,3,1,80.77,0.185,1,304.8,1,45,0.185,84.36594662
1,3,1,19.51,0.058,1,1.6,3,0.5,0.058,3882.123528
1,3,1,27.43,0.069,1,3.175,3,1,0.069,2750.515784
1,3,1,28.65,0.099,1,6.35,3,2,0.099,1436.425031
1,3,1,30.18,0.119,1,9.652,3,3,0.119,995.4833161
1,3,1,32.61,0.137,1,12.7,3,5,0.137,817.4837744
1,3,1,35.66,0.145,1,19.05,3,8,0.145,595.9617989
1,3,1,36.88,0.163,1,25.4,3,15,0.163,462.263134
1,3,1,37.49,0.165,1,31.75,3,20,0.165,375.9272211
1,3,1,38.4,0.17,1,38.1,3,25,0.17,320.8767958
1,3,1,38.4,0.178,1,50.8,3,29,0.178,240.6575969
1,3,1,38.4,0.196,1,76.2,3,33,0.196,160.4383979
1,3,1,38.4,0.196,1,101.6,3,37,0.196,120.3287984
1,3,1,38.4,0.196,1,152.4,3,40,0.196,80.21919896
1,3,1,38.4,0.196,1,304.8,3,45,0.196,40.10959948
1,3,1,14.63,0.056,1,1.6,2,0.5,0.056,2911.095193
1,3,1,20.73,0.066,1,3.175,2,1,0.066,2078.679993
1,3,1,21.64,0.094,1,6.35,2,2,0.094,1084.964666
1,3,1,22.86,0.114,1,9.652,2,3,0.114,754.0340823
1,3,1,24.69,0.132,1,12.7,2,5,0.132,618.941257
1,3,1,26.82,0.137,1,19.05,2,8,0.137,448.2247742
1,3,1,28.04,0.155,1,25.4,2,15,0.155,351.4603654
1,3,1,28.35,0.158,1,31.75,2,20,0.158,284.2767863
1,3,1,28.96,0.163,1,38.1,2,25,0.163,241.9945835
1,3,1,28.96,0.168,1,50.8,2,29,0.168,181.4959376
1,3,1,28.96,0.185,1,76.2,2,33,0.185,120.9972918
1,3,1,28.96,0.185,1,101.6,2,37,0.185,90.74796882
1,3,1,28.96,0.185,1,152.4,2,40,0.185,60.49864588
1,3,1,28.96,0.185,1,304.8,2,45,0.185,30.24932294
1,3,1,21.03,0.064,1,1.6,4,0.5,0.064,4184.574976
1,3,1,29.87,0.071,1,3.175,4,1,0.071,2995.184341
1,3,1,31.09,0.104,1,6.35,4,2,0.104,1558.75931
1,3,1,32.92,0.124,1,9.652,4,3,0.124,1085.861854
1,3,1,35.36,0.145,1,12.7,4,5,0.145,886.4221485
1,3,1,38.71,0.152,1,19.05,4,8,0.152,646.934415
1,3,1,40.23,0.17,1,25.4,4,15,0.17,504.252871
1,3,1,40.84,0.173,1,31.75,4,20,0.173,409.5190107
1,3,1,41.76,0.178,1,38.1,4,25,0.178,348.9535155
1,3,1,41.76,0.185,1,50.8,4,29,0.185,261.7151366
1,3,1,41.76,0.206,1,76.2,4,33,0.206,174.4767577
1,3,1,41.76,0.206,1,101.6,4,37,0.206,130.8575683
1,3,1,41.76,0.206,1,152.4,4,40,0.206,87.23837887
1,3,1,41.76,0.206,1,304.8,4,45,0.206,43.61918944
1,1,2,42.67,0.013,2,1.6,1,0.5,0.026,8490.528494
1,1,2,55.78,0.023,2,3.175,1,1,0.046,5593.283648
1,1,2,67.97,0.041,2,6.35,1,2,0.082,3407.811846
1,1,2,69.49,0.041,2,9.652,1,3,0.082,2292.118477
1,1,2,69.49,0.046,2,12.7,1,5,0.092,1742.010042
1,1,2,69.49,0.058,2,19.05,1,8,0.116,1161.340028
1,1,2,69.49,0.064,2,25.4,1,15,0.128,871.0050212
1,1,2,69.49,0.074,2,31.75,1,20,0.148,696.804017
1,1,2,69.49,0.081,2,38.1,1,25,0.162,580.6700141
1,1,2,71.93,0.081,2,50.8,1,29,0.162,450.7942954
1,1,2,71.93,0.091,2,76.2,1,33,0.182,300.5295303
1,1,2,71.93,0.096,2,101.6,1,37,0.192,225.3971477
1,1,2,71.93,0.104,2,152.4,1,40,0.208,150.2647651
1,1,2,71.93,0.114,2,304.8,1,45,0.228,75.13238257
1,1,2,31.09,0.064,2,1.6,3,0.5,0.128,6186.326011
1,1,2,43.89,0.074,2,3.175,3,1,0.148,4401.025803
1,1,2,45.72,0.104,2,6.35,3,2,0.208,2292.26361
1,1,2,48.16,0.127,2,9.652,3,3,0.254,1588.551243
1,1,2,52.12,0.145,2,12.7,3,5,0.29,1306.570203
1,1,2,57,0.152,2,19.05,3,8,0.304,952.6029877
1,1,2,59.13,0.173,2,25.4,3,15,0.346,741.1501929
1,1,2,60.05,0.175,2,31.75,3,20,0.35,602.1453622
1,1,2,61.26,0.18,2,38.1,3,25,0.36,511.8987634
1,1,2,61.26,0.188,2,50.8,3,29,0.376,383.9240725
1,1,2,61.26,0.206,2,76.2,3,33,0.412,255.9493817
1,1,2,61.26,0.206,2,101.6,3,37,0.412,191.9620363
1,1,2,61.26,0.206,2,152.4,3,40,0.412,127.9746908
1,1,2,61.26,0.206,2,304.8,3,45,0.412,63.98734542
1,1,2,23.47,0.061,2,1.6,2,0.5,0.122,4670.089144
1,1,2,33.22,0.069,2,3.175,2,1,0.138,3331.102237
1,1,2,34.44,0.099,2,6.35,2,2,0.198,1726.718258
1,1,2,36.58,0.119,2,9.652,2,3,0.238,1206.586471
1,1,2,39.32,0.14,2,12.7,2,5,0.28,985.6934072
1,1,2,42.98,0.145,2,19.05,2,8,0.29,718.2960774
1,1,2,44.81,0.165,2,25.4,2,15,0.33,561.6597352
1,1,2,45.42,0.168,2,31.75,2,20,0.336,455.4445021
1,1,2,46.33,0.17,2,38.1,2,25,0.34,387.1411967
1,1,2,46.33,0.178,2,50.8,2,29,0.356,290.3558975
1,1,2,46.33,0.196,2,76.2,2,33,0.392,193.5705983
1,1,2,46.33,0.196,2,101.6,2,37,0.392,145.1779487
1,1,2,46.33,0.196,2,152.4,2,40,0.392,96.78529916
1,1,2,46.33,0.196,2,304.8,2,45,0.392,48.39264958
1,1,2,33.83,0.066,2,1.6,4,0.5,0.132,6731.534543
1,1,2,47.85,0.076,2,3.175,4,1,0.152,4798.110838
1,1,2,49.68,0.109,2,6.35,4,2,0.218,2490.806128
1,1,2,52.43,0.132,2,9.652,4,3,0.264,1729.396629
1,1,2,56.69,0.152,2,12.7,4,5,0.304,1421.133247
1,1,2,62.18,0.16,2,19.05,4,8,0.32,1039.172873
1,1,2,64.31,0.18,2,25.4,4,15,0.36,806.0776071
1,1,2,65.23,0.183,2,31.75,4,20,0.366,654.0872935
1,1,2,66.75,0.188,2,38.1,4,25,0.376,557.7741178
1,1,2,66.75,0.196,2,50.8,4,29,0.392,418.3305883
1,1,2,66.75,0.216,2,76.2,4,33,0.432,278.8870589
1,1,2,66.75,0.216,2,101.6,4,37,0.432,209.1652942
1,1,2,66.75,0.216,2,152.4,4,40,0.432,139.4435294
1,1,2,66.75,0.216,2,304.8,4,45,0.432,69.72176472
1,1,2,25.6,0.058,2,1.6,2,0.5,0.116,5093.919134
1,1,2,36.27,0.079,2,3.175,2,1,0.158,3636.937933
1,1,2,40.54,0.124,2,6.35,2,2,0.248,2032.553954
1,1,2,40.54,0.137,2,9.652,2,3,0.274,1337.206548
1,1,2,40.54,0.155,2,12.7,2,5,0.31,1016.276977
1,1,2,40.54,0.185,2,19.05,2,8,0.37,677.5179846
1,1,2,40.54,0.196,2,25.4,2,15,0.392,508.1384884
1,1,2,40.54,0.196,2,31.75,2,20,0.392,406.5107907
1,1,2,40.54,0.196,2,38.1,2,25,0.392,338.7589923
1,1,2,42.98,0.213,2,50.8,2,29,0.426,269.361029
1,1,2,44.5,0.254,2,76.2,2,33,0.508,185.9247059
1,1,2,45.72,0.29,2,101.6,2,37,0.58,143.2664756
1,1,2,47.24,0.29,2,152.4,2,40,0.58,98.68632706
1,1,2,50.9,0.29,2,304.8,2,45,0.58,53.16610973
1,1,2,19.51,0.124,2,1.6,2,0.5,0.248,3882.123528
1,1,2,20.73,0.155,2,3.175,2,1,0.31,2078.679993
1,1,2,22.25,0.188,2,6.35,2,2,0.376,1115.548236
1,1,2,22.86,0.208,2,9.652,2,3,0.416,754.0340823
1,1,2,23.16,0.249,2,12.7,2,5,0.498,580.5864525
1,1,2,23.16,0.333,2,19.05,2,8,0.666,387.057635
1,1,2,23.47,0.373,2,25.4,2,15,0.746,294.1788437
1,1,2,23.77,0.414,2,31.75,2,20,0.828,238.3512949
1,1,2,24.08,0.498,2,38.1,2,25,0.996,201.2164907
1,1,2,24.38,0.622,2,50.8,2,29,1.244,152.7925055
1,1,2,24.69,0.726,2,76.2,2,33,1.452,103.1568762
1,1,2,24.99,0.871,2,101.6,2,37,1.742,78.30772586
1,1,2,25.91,0.935,2,152.4,2,40,1.87,54.12706888
1,1,2,26.52,1.036,2,304.8,2,45,2.072,27.70069214
1,1,2,42.67,0.013,2,1.6,2,0.5,0.026,8490.528494
1,1,2,55.78,0.023,2,3.175,2,1,0.046,5593.283648
1,1,2,67.97,0.041,2,6.35,2,2,0.082,3407.811846
1,1,2,69.49,0.041,2,9.652,2,3,0.082,2292.118477
1,1,2,69.49,0.046,2,12.7,2,5,0.092,1742.010042
1,1,2,69.49,0.058,2,19.05,2,8,0.116,1161.340028
1,1,2,69.49,0.064,2,25.4,2,15,0.128,871.0050212
1,1,2,69.49,0.074,2,31.75,2,20,0.148,696.804017
1,1,2,69.49,0.081,2,38.1,2,25,0.162,580.6700141
1,1,2,71.93,0.081,2,50.8,2,29,0.162,450.7942954
1,1,2,71.93,0.091,2,76.2,2,33,0.182,300.5295303
1,1,2,71.93,0.096,2,101.6,2,37,0.192,225.3971477
1,1,2,71.93,0.104,2,152.4,2,40,0.208,150.2647651
1,1,2,71.93,0.114,2,304.8,2,45,0.228,75.13238257
1,1,2,42.67,0.013,2,1.6,2,0.5,0.026,8490.528494
1,1,2,55.78,0.023,2,3.175,2,1,0.046,5593.283648
1,1,2,67.97,0.041,2,6.35,2,2,0.082,3407.811846
1,1,2,69.49,0.041,2,9.652,2,3,0.082,2292.118477
1,1,2,69.49,0.046,2,12.7,2,5,0.092,1742.010042
1,1,2,69.49,0.058,2,19.05,2,8,0.116,1161.340028
1,1,2,69.49,0.064,2,25.4,2,15,0.128,871.0050212
1,4,2,20.12,0.109,1,2.362,1,0.5,0.109,2711.940437
1,4,2,21.03,0.109,1,3.962,1,1,0.109,1689.883887
1,4,2,21.95,0.119,1,7.137,1,2,0.119,979.1537498
1,4,2,23.77,0.17,1,12.7,1,3,0.17,595.8782373
1,4,2,25.6,0.216,1,19.05,1,5,0.216,427.8357278
1,4,2,28.96,0.241,1,25.4,1,8,0.241,362.9918753
1,4,2,32.61,0.29,1,38.1,1,15,0.29,272.4945915
1,4,2,35.97,0.361,1,76.2,1,20,0.361,150.2856556
1,4,2,13.41,0.094,1,2.362,2,0.5,0.094,1807.510997
1,4,2,13.72,0.104,1,3.962,2,1,0.104,1102.482498
1,4,2,14.33,0.114,1,7.137,2,2,0.114,639.2379605
1,4,2,14.94,0.127,1,12.7,2,3,0.127,374.5233851
1,4,2,16.15,0.168,1,19.05,2,5,0.168,269.9041798
1,4,2,17.37,0.188,1,25.4,2,8,0.188,217.7199197
1,4,2,18.29,0.211,1,38.1,2,15,0.211,152.8342864
1,4,2,18.9,0.252,1,76.2,2,20,0.252,78.96577398
1,2,2,42.67,0.013,1,1.6,1,0.5,0.013,8490.528494
1,2,2,55.78,0.023,1,3.175,1,1,0.023,5593.283648
1,2,2,67.97,0.041,1,6.35,1,2,0.041,3407.811846
1,2,2,69.49,0.041,1,9.652,1,3,0.041,2292.118477
1,2,2,69.49,0.046,1,12.7,1,5,0.046,1742.010042
1,2,2,69.49,0.058,1,19.05,1,8,0.058,1161.340028
1,2,2,69.49,0.064,1,25.4,1,15,0.064,871.0050212
1,2,2,69.49,0.074,1,31.75,1,20,0.074,696.804017
1,2,2,69.49,0.081,1,38.1,1,25,0.081,580.6700141
1,2,2,71.93,0.081,1,50.8,1,29,0.081,450.7942954
1,2,2,71.93,0.091,1,76.2,1,33,0.091,300.5295303
1,2,2,71.93,0.096,1,101.6,1,37,0.096,225.3971477
1,2,2,71.93,0.104,1,152.4,1,40,0.104,150.2647651
1,2,2,71.93,0.114,1,304.8,1,45,0.114,75.13238257
1,2,2,31.09,0.064,1,1.6,3,0.5,0.064,6186.326011
1,2,2,43.89,0.074,1,3.175,3,1,0.074,4401.025803
1,2,2,45.72,0.104,1,6.35,3,2,0.104,2292.26361
1,2,2,48.16,0.127,1,9.652,3,3,0.127,1588.551243
1,2,2,52.12,0.145,1,12.7,3,5,0.145,1306.570203
1,2,2,57,0.152,1,19.05,3,8,0.152,952.6029877
1,2,2,59.13,0.173,1,25.4,3,15,0.173,741.1501929
1,2,2,60.05,0.175,1,31.75,3,20,0.175,602.1453622
1,2,2,61.26,0.18,1,38.1,3,25,0.18,511.8987634
1,2,2,61.26,0.188,1,50.8,3,29,0.188,383.9240725
1,2,2,61.26,0.206,1,76.2,3,33,0.206,255.9493817
1,2,2,61.26,0.206,1,101.6,3,37,0.206,191.9620363
1,2,2,61.26,0.206,1,152.4,3,40,0.206,127.9746908
1,2,2,61.26,0.206,1,304.8,3,45,0.206,63.98734542
1,2,2,23.47,0.061,1,1.6,2,0.5,0.061,4670.089144
1,2,2,33.22,0.069,1,3.175,2,1,0.069,3331.102237
1,2,2,34.44,0.099,1,6.35,2,2,0.099,1726.718258
1,2,2,36.58,0.119,1,9.652,2,3,0.119,1206.586471
1,2,2,39.32,0.14,1,12.7,2,5,0.14,985.6934072
1,2,2,42.98,0.145,1,19.05,2,8,0.145,718.2960774
1,2,2,44.81,0.165,1,25.4,2,15,0.165,561.6597352
1,2,2,45.42,0.168,1,31.75,2,20,0.168,455.4445021
1,2,2,46.33,0.17,1,38.1,2,25,0.17,387.1411967
1,2,2,46.33,0.178,1,50.8,2,29,0.178,290.3558975
1,2,2,46.33,0.196,1,76.2,2,33,0.196,193.5705983
1,2,2,46.33,0.196,1,101.6,2,37,0.196,145.1779487
1,2,2,46.33,0.196,1,152.4,2,40,0.196,96.78529916
1,2,2,46.33,0.196,1,304.8,2,45,0.196,48.39264958
1,2,2,33.83,0.066,1,1.6,4,0.5,0.066,6731.534543
1,2,2,47.85,0.076,1,3.175,4,1,0.076,4798.110838
1,2,2,49.68,0.109,1,6.35,4,2,0.109,2490.806128
1,2,2,52.43,0.132,1,9.652,4,3,0.132,1729.396629
1,2,2,56.69,0.152,1,12.7,4,5,0.152,1421.133247
1,2,2,62.18,0.16,1,19.05,4,8,0.16,1039.172873
1,2,2,64.31,0.18,1,25.4,4,15,0.18,806.0776071
1,2,2,65.23,0.183,1,31.75,4,20,0.183,654.0872935
1,2,2,66.75,0.188,1,38.1,4,25,0.188,557.7741178
1,2,2,66.75,0.196,1,50.8,4,29,0.196,418.3305883
